#,Geochemistry Reference,Province,Location,Sample Name,Rock Type,Latitude,Longitude,Age,Age reference,Sm (ppm),Nd (ppm),Rb (ppm),Sr (ppm),U (ppm),Pb (ppm),Th (ppm),143Nd/144Nd measured,87Sr/86Sr measured,206Pb/204Pb measured,207Pb/204Pb measured,208Pb/204Pb measured,147Sm/144Nd,143Nd/144Nd_i,87Rb/86Sr,87Sr/86Sr_i,238U/204Pb,235U/204Pb,232Th/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i
348,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-34R-2,0-11 ",Trachyte ,-56.8333,68.0933,107,[9],14.0,74.0,147.0,193.0,2.7,21.0,19.0,0.512264,0.713613,18.569,15.831,39.836,0.114,0.512184,2.205,0.710260,8.23,0.06,59.84,18.431,15.824,39.518
351,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-34R-2,111-113 ",Rhyolite ,-56.8333,68.0933,107,[9],15.0,95.0,212.0,38.0,2.5,,34.0,0.512267,0.732206,18.576,15.819,39.780,0.095,0.512200,16.180,0.707603,,,,,,
358,[30],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-40R-2,119-121 ",Basalt ,-56.8333,68.0933,107,[9],,,11.7,491.0,,,,0.512438,0.706059,17.950,15.643,38.950,,,0.069,0.705954,,,,,,
360,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-41R-1,3-10 ","Basalt, Transitional  / Basalt ",-56.8333,68.0933,107,[9],6.2,26.6,9.3,483.0,,,3.7,0.512461,0.706027,17.969,15.665,39.059,0.142,0.512362,0.056,0.705942,,,,,,
359,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-40R-3,117-124 ","Basalt, Transitional  / Basalt ",-56.8333,68.0933,107,[9],6.3,26.5,36.1,456.0,,,3.7,0.512455,0.706256,17.999,15.668,39.144,0.145,,0.229,0.705908,,,,,,
364,[30],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-38R-3,83-86 ",Basalt ,-56.8333,68.0933,107,[9],,,5.3,526.0,,,,0.512504,0.705606,17.999,15.637,38.710,,,0.029,0.705562,,,,,,
370,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-46R-2,7-15 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],6.9,29.3,19.9,478.0,,,3.0,0.512546,0.705728,18.016,15.662,38.931,0.142,0.512446,0.120,0.705545,,,,,,
363,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-38R-4,71-77 ","Basalt, Transitional  / Basalt ",-56.8333,68.0933,107,[9],6.0,27.1,16.5,485.0,,,3.3,0.512495,0.705690,17.974,15.641,38.910,0.135,0.512401,0.098,0.705540,,,,,,
368,[30],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-46R-2,92-95 ",Basalt ,-56.8333,68.0933,107,[9],,,18.7,489.0,,,,0.512543,0.705686,18.015,15.654,38.910,,,0.111,0.705518,,,,,,
369,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-46R-1,51-56 ","Basalt, Transitional  / Basalt ",-56.8333,68.0933,107,[9],6.7,28.9,14.2,494.0,,,2.7,0.512543,0.705633,18.006,15.646,38.876,0.141,,0.083,0.705507,,,,,,
374,[30],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-25R-1,106-108 ",Basalt ,-56.8333,68.0933,107,[9],,,12.0,549.0,,,,0.512550,0.705068,17.989,15.594,38.550,,,0.063,0.704972,,,,,,
372,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-25R-2,46-53 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],6.3,26.7,12.0,530.0,,,2.2,0.512549,0.705066,18.018,15.625,38.625,0.142,0.512450,0.065,0.704966,,,,,,
381,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-25R-1,64-72 ","Basalt, Transitional  / Basalt ",-56.8333,68.0933,107,[9],6.6,28.8,6.0,536.0,,,2.9,0.512566,0.705005,18.009,15.619,38.567,0.138,0.512470,0.032,0.704956,,,,,,
382,[30],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-26R-2,5-7 ",Basalt ,-56.8333,68.0933,107,[9],,,17.5,531.0,,,,0.512567,0.705075,17.995,15.611,38.600,,,0.095,0.704930,,,,,,
373,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-26R-2,17-23 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],7.0,31.0,20.2,508.0,,,2.6,0.512550,0.705092,18.002,15.616,38.634,0.137,0.512454,0.115,0.704917,,,,,,
377,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-25R-2,119-126 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],6.4,28.4,8.5,537.0,,,2.4,0.512559,0.704967,17.993,15.616,38.551,0.136,0.512464,0.046,0.704897,,,,,,
384,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-26R-1,31-43 ","Basalt, Transitional  / Basalt ",-56.8333,68.0933,107,[9],6.7,28.2,12.9,520.0,,,2.2,0.512576,0.704999,18.016,15.644,38.663,0.144,,0.072,0.704890,,,,,,
387,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-25R-7,90-98 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],6.4,27.9,12.2,536.0,,,2.3,0.512583,0.704987,17.989,15.620,38.575,0.139,0.512486,0.066,0.704887,,,,,,
380,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-31R-3,85-90 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],6.0,25.5,11.2,573.0,,,2.1,0.512566,0.704932,18.036,15.630,38.741,0.143,0.512466,0.057,0.704846,,,,,,
383,[30],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-28R-4,28-30 ",Basalt ,-56.8333,68.0933,107,[9],,,12.0,553.0,,,,0.512576,0.704941,17.995,15.587,38.530,,,0.063,0.704846,,,,,,
371,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-31R-3,5-10 ","Basalt, Transitional  / Basalt ",-56.8333,68.0933,107,[9],5.4,23.4,11.0,540.0,,,1.6,0.512546,0.704930,18.072,15.635,38.847,0.140,0.512448,0.059,0.704840,,,,,,
388,[30],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-31R-4,48-51 ",Basalt ,-56.8333,68.0933,107,[9],,,8.8,601.0,,,,0.512587,0.704903,18.039,15.614,38.640,,,0.042,0.704839,,,,,,
379,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-33R-1,53-60 ","Basalt, Transitional  / Basalt ",-56.8333,68.0933,107,[9],6.5,28.2,8.6,560.0,,,2.5,0.512565,0.704879,18.019,15.608,38.692,0.140,0.512467,0.044,0.704811,,,,,,
386,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-28R-3,123-128 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],7.1,29.4,16.0,532.0,,,2.4,0.512580,0.704920,18.010,15.608,38.603,0.145,0.512478,0.087,0.704788,,,,,,
389,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-32R-6,66-71 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],6.6,27.6,12.7,545.0,,,2.1,0.512600,0.704885,18.015,15.605,38.631,0.145,,0.067,0.704783,,,,,,
385,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-29R-1,30-37 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],7.3,31.0,6.6,566.0,,,2.5,0.512577,0.704825,17.995,15.617,38.622,0.142,0.512478,0.034,0.704774,,,,,,
378,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-27R-4,57-63 ","Basalt, Transitional  / Basalt ",-56.8333,68.0933,107,[9],6.9,29.4,17.9,523.0,,,2.4,0.512565,0.704921,18.012,15.623,38.681,0.142,0.512466,0.099,0.704770,,,,,,
376,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-6R-1,143-146 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],5.8,24.6,12.3,529.0,,,2.0,0.512555,0.705029,17.997,15.617,38.617,0.142,0.512456,0.067,,,,,,,
367,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-46R-3,12-18 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],7.3,29.7,19.3,455.0,,,2.9,0.512541,0.705680,18.011,15.658,38.915,0.149,0.512437,0.123,,,,,,,
366,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-38R-3,63-68 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],6.1,27.1,,,,,3.1,0.512519,0.705625,17.962,15.639,38.887,0.136,0.512424,,,,,,,,
347,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-33R-5,7-9 ",Trachyte ,-56.8333,68.0933,107,[9],13.0,75.0,146.0,219.0,2.6,,19.0,0.512256,0.713042,18.591,15.844,39.874,0.105,0.512183,1.930,,,,,,,
346,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-34R-4,127-130 ",Not Given ,-56.8333,68.0933,107,[9],18.0,106.0,193.0,9.0,3.2,25.0,36.0,0.512253,,18.602,15.831,39.921,0.103,0.512181,57.750,,8.21,0.06,95.39,18.464,15.824,39.415
338,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-35R-2,44-46 ",Gneiss ,-56.8333,68.0933,107,[9],13.0,67.0,188.0,106.0,3.0,,38.0,0.511828,0.785608,18.314,15.792,40.412,0.117,,5.171,,,,,,,
339,[30],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-35-2,44-46 ","Gneiss, Garnet-Biotite ",-56.8333,68.0933,107,[9],,,,,,,,0.511828,0.785608,18.296,15.769,40.330,,,,,,,,,,
340,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-35R-2,40-49 ",Gneiss ,-56.8333,68.0933,107,[9],12.0,64.0,174.0,108.0,2.7,37.0,35.0,0.511830,0.784046,18.329,15.793,40.469,0.113,,4.696,,4.69,0.03,62.86,18.250,15.789,40.135
352,[30],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-41R-1,128-130 ",Not Given ,-56.8333,68.0933,107,[9],,,,,,,,0.512273,0.715519,18.497,15.790,39.710,,,,,,,,,,
353,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-35R-1,103-110 ",Conglomerate ,-56.8333,68.0933,107,[9],15.0,82.0,139.0,137.0,2.0,23.0,20.0,0.512283,0.713703,18.512,15.809,39.678,0.111,,2.937,,5.55,0.04,57.33,18.419,15.804,39.374
354,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-36R-1,27-32_LEACHED ",Phonotephrite ,-56.8333,68.0933,107,[9],,,,,,,,0.512363,0.706814,18.085,15.628,38.699,,,,,,,,,,
355,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-36R-1,27-32 ",Phonotephrite ,-56.8333,68.0933,107,[9],15.0,80.0,70.0,490.0,1.9,12.0,9.3,0.512378,0.706878,18.237,15.678,39.054,0.113,,0.413,,9.96,0.07,50.39,18.070,15.670,38.787
356,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-36R-2,127-136_LEACHED ",Tephrite ,-56.8333,68.0933,107,[9],,,,,,,,0.512378,0.706328,18.110,15.640,38.670,,,,,,,,,,
357,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-36R-2,127-136 ",Tephrite ,-56.8333,68.0933,107,[9],13.0,67.0,43.0,640.0,1.6,8.0,6.9,0.512382,0.706421,18.235,15.667,38.961,0.117,,0.194,,12.57,0.09,56.00,18.024,15.657,38.664
361,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-40R-1,14-16 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],,,,,,,,0.512463,0.706098,17.961,15.667,39.065,,,,,,,,,,
362,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-39R-1,101-108 ","Basalt, Transitional ",-56.8333,68.0933,107,[9],6.2,26.9,16.7,484.0,,,3.2,0.512488,0.705774,18.004,15.662,39.033,0.139,,0.100,,,,,,,
365,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-45R-3,57-63 ",Tholeiite ,-56.8333,68.0933,107,[9],6.7,29.9,,,,,2.7,0.512512,0.705650,18.011,15.654,38.946,0.135,,,,,,,,,
375,[15],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-24R-2,10-11 ",Tholeiite ,-56.8333,68.0933,107,[9],6.3,25.7,,,,,2.1,0.512553,0.705012,18.018,15.620,38.592,0.147,,,,,,,,,
390,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 4 (Unnamed Seamount)",s D4-37 ,Basalt ,-51.52,71.15,21,[29],,,45.7,660.0,,,,0.512525,0.705942,18.451,15.551,39.009,,,0.200,0.705882,,,,,,
401,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 4 (Unnamed Seamount)",s D4-33 ,Basalt ,-51.52,71.15,0.7,[29],8.9,38.3,17.8,577.0,,,3.2,0.512946,0.703126,19.669,15.678,39.315,0.140,,0.089,0.703125,,,,,,
400,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 4 (Unnamed Seamount)",s D4-33 ,Basalt ,-51.52,71.15,0.7,[29],,,,,,,,0.512942,0.703100,19.677,15.686,39.347,,,,,,,,,,
395,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 5 (Unnamed Seamount)",s D5-42 ,"Basalt, Olivine ",-51.52,71.13,17,[29],12.4,62.0,46.2,882.0,,,6.8,0.512582,0.705654,18.179,15.511,38.576,0.121,0.512569,0.152,0.705617,,,,,,
393,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 5 (Unnamed Seamount)",s D5-44A ,"Basalt, Olivine ",-51.52,71.13,18,[29],11.6,59.6,33.8,842.0,,,6.0,0.512606,0.705625,18.214,15.517,38.634,0.118,0.512592,0.116,0.705595,,,,,,
394,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 5 (Unnamed Seamount)",s D5-44B ,"Basalt, Olivine ",-51.52,71.13,17,[29],13.4,69.4,34.6,907.0,,,6.7,0.512576,0.705658,18.208,15.527,38.658,0.117,,0.110,,,,,,,
396,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 5 (Unnamed Seamount)",s D5-44B ,"Basalt, Olivine ",-51.52,71.13,16.9,[29],,,,,,,,,0.705676,18.197,15.524,38.662,,,,,,,,,,
398,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 6 (Unnamed Seamount)",s D6-89 ,Picrite ,-51.02,71.07,14,[29],5.1,24.8,25.6,406.0,,,2.4,0.512526,0.705699,17.876,15.541,38.278,0.125,0.512515,0.182,0.705663,,,,,,
397,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 6 (Unnamed Seamount)",s D6-87 ,Picrite ,-51.02,71.07,15,[29],5.2,26.2,25.4,409.0,,,2.3,0.512533,0.705683,17.874,15.540,38.274,0.120,,0.180,0.705645,,,,,,
391,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 6 (Unnamed Seamount)",s D6-88 ,Picrite ,-51.02,71.07,19,[29],5.2,24.9,26.7,415.0,,,2.4,0.512547,0.705681,17.872,15.538,38.265,0.126,0.512531,0.186,0.705631,,,,,,
392,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 6 (Unnamed Seamount)",s D6-88 ,Picrite ,-51.02,71.07,19,[29],,,,,,,,,0.705703,17.869,15.531,38.266,,,,,,,,,,
399,[29],Kerguelen Plateau (Miocene Seamounts),"MD109, Dredge 6 (Unnamed Seamount)",s D6-85 ,Picrite ,-51.02,71.07,14,[29],5.3,27.0,25.3,422.0,,,2.4,0.512543,0.705694,17.875,15.536,38.266,0.118,,0.173,,,,,,,
409,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-31R-2-20–24,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],7.4,29.0,6.7,258.0,0.6,1.9,2.4,0.512783,0.704466,18.590,15.576,38.970,0.154,0.512749,0.075,0.704430,18.85,0.14,81.97,18.490,15.571,38.832
411,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-32R-1-126–131,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],7.3,28.4,7.6,254.0,0.6,2.4,2.5,0.512791,0.704469,18.608,15.567,39.000,0.156,0.512756,0.087,0.704427,15.31,0.11,68.75,18.527,15.563,38.884
412,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-32R-2-45–50,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],7.4,28.1,4.5,260.0,0.6,1.9,2.3,0.512785,0.704426,18.610,15.589,39.020,0.159,0.512750,0.050,0.704402,18.94,0.14,79.66,18.510,15.584,38.886
410,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-32R-1-55–57,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],,,3.9,262.0,,,,0.512767,0.704411,18.605,15.577,39.010,,,0.043,0.704390,,,,,,
406,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-31R-1-57–61,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],5.5,20.4,6.2,262.0,0.4,1.5,1.6,0.512829,0.704281,18.544,15.575,38.910,0.163,0.512793,0.069,0.704248,15.33,0.11,70.21,18.463,15.571,38.792
408,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-31R-1-95–105,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],5.2,20.3,2.7,252.0,0.4,1.4,1.6,0.512815,0.704233,18.512,15.555,38.830,0.154,0.512781,0.030,0.704218,16.16,0.12,73.77,18.426,15.551,38.706
407,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-31R-1-53–57,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],,,10.8,259.0,,,,0.512812,0.704257,18.524,15.564,38.870,,,0.121,0.704199,,,,,,
416,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-33R-3-19–24,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],3.1,8.9,0.8,116.0,0.1,0.5,0.5,0.512952,0.703760,18.413,15.553,38.670,0.210,0.512905,0.019,0.703751,15.08,0.11,61.13,18.333,15.549,38.567
415,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-33R-2-78–81,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],,,0.3,126.0,,,,0.512924,0.703729,18.386,15.539,38.600,,,0.007,0.703726,,,,,,
413,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-32R-4-0–6,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],3.1,8.7,7.0,131.0,0.6,0.6,0.5,0.512945,0.703775,18.590,15.584,38.710,0.213,0.512898,0.155,0.703700,59.66,0.44,58.34,18.274,15.569,38.612
414,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-33R-1-122–126,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],3.1,9.1,14.5,127.0,0.2,0.5,0.5,0.512950,0.703851,18.416,15.535,38.600,0.206,0.512904,0.330,0.703692,26.47,0.19,65.90,18.276,15.528,38.489
417,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-34R-6-33–39,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],3.1,9.4,0.6,128.0,0.1,0.6,0.5,0.512949,0.703697,18.383,15.533,38.550,0.200,0.512904,0.013,0.703691,12.28,0.09,51.89,18.318,15.530,38.463
418,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-35R-4-50–52,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],,,1.5,138.0,,,,0.512942,0.703705,18.421,15.543,38.610,,,0.031,0.703690,,,,,,
419,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-36R-3-97–118,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],3.1,8.8,0.7,124.0,0.1,0.6,0.4,0.512958,0.703697,18.386,15.527,38.580,0.211,0.512911,0.016,0.703689,10.97,0.08,49.87,18.328,15.524,38.496
421,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-37R-4-23–32,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],3.1,9.1,0.7,123.0,0.1,0.5,0.5,0.512961,0.703691,18.387,15.526,38.570,0.203,0.512916,0.016,0.703683,13.75,0.10,58.14,18.314,15.523,38.472
420,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-37R-3-104–108,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],,,11.5,137.0,,,,0.512937,0.703766,18.477,15.561,38.700,,,0.243,0.703649,,,,,,
402,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-25R-6-51–58,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],3.4,9.5,1.3,130.0,0.1,0.6,0.5,0.513025,0.703429,18.231,15.502,38.400,0.215,0.512977,0.029,0.703415,10.37,0.08,50.36,18.176,15.499,38.315
404,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-27R-2-0–5,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],,,0.8,129.0,,,,0.513013,0.703401,18.219,15.532,38.380,,,0.018,0.703392,,,,,,
405,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-28R-3-29–32,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],,,1.0,132.0,,,,0.513008,0.703388,18.237,15.540,38.450,,,0.022,0.703377,,,,,,
403,[84],Kerguelen Plateau (Northern),"ODP Leg 183, Site 1140",s 183-1140A-26R-1-7–10,"Tholeiite  / Basalt, Tholeiitic ",-46.26,68.4917,34,[9],,,9.5,142.0,,,,0.513001,0.703434,18.172,15.531,38.280,,,0.193,0.703341,,,,,,
430,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-70R4,108-118 ",Trachyte ,-50.185,63.94,68.3,[9],12.8,59.5,58.5,15.3,0.7,7.0,5.6,0.512530,0.721412,17.683,15.544,38.282,0.130,0.512472,11.077,0.710663,6.17,0.05,50.99,17.617,15.541,38.109
423,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-62R2,74-79 ","Trachyandesite, Basaltic ",-50.185,63.94,68.3,[9],12.7,59.8,60.2,136.0,0.8,6.9,4.2,0.512514,0.707145,17.539,15.515,38.080,0.128,0.512457,1.281,0.705902,6.67,0.05,38.23,17.468,15.512,37.951
435,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-66R3,2-10 ",Trachybasalt ,-50.185,63.94,68.3,[9],13.0,61.2,42.5,509.0,0.5,4.8,3.2,0.512545,0.705887,17.599,15.543,38.190,0.128,0.512488,0.242,0.705653,6.32,0.05,42.26,17.532,15.540,38.047
426,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-65R3,15-19 ","Trachyandesite, Basaltic ",-50.185,63.94,68.3,[9],11.8,55.3,50.3,452.0,0.5,5.6,3.6,0.512523,0.705930,17.584,15.554,38.230,0.129,0.512465,0.322,0.705618,5.76,0.04,41.65,17.523,15.551,38.089
425,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-69R2,105-109 ","Trachyandesite, Basaltic ",-50.185,63.94,68.3,[9],12.6,60.4,54.3,468.0,1.0,6.5,4.2,0.512519,0.705940,17.537,15.501,38.054,0.126,0.512463,0.336,0.705614,9.33,0.07,40.69,17.437,15.496,37.916
428,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-64R1,136-146 ","Trachyandesite, Basaltic  / Basalt ",-50.185,63.94,68.3,[9],11.1,52.7,50.5,444.0,0.8,5.8,4.3,0.512527,0.705860,17.507,15.497,38.035,0.127,0.512470,0.329,0.705541,8.88,0.07,46.51,17.412,15.492,37.878
446,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-64R1,127-135 ","Trachyandesite, Basaltic ",-50.185,63.94,68.3,[9],11.0,53.2,50.3,443.0,0.8,5.9,4.2,,0.705855,17.501,15.501,38.041,0.110,,0.328,0.705536,8.52,0.06,45.19,17.410,15.497,37.888
444,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-64R2,78-87 ","Trachyandesite, Basaltic ",-50.185,63.94,68.3,[9],12.4,60.3,63.1,480.0,0.9,7.0,3.8,0.512630,0.705832,17.505,15.503,38.041,0.124,0.512574,0.380,0.705463,8.03,0.06,34.72,17.419,15.499,37.923
445,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-67R4,35-41 ",Trachybasalt ,-50.185,63.94,68.3,[9],11.5,53.9,43.6,160.0,0.5,7.1,3.8,0.512763,0.706604,17.566,15.517,38.107,0.129,0.512705,0.788,,4.50,0.03,33.96,17.518,15.515,37.992
439,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-72R2,25-35 ",Trachyte ,-50.185,63.94,68.3,[9],35.2,177.0,115.0,9.7,2.6,15.4,15.0,0.512560,0.760923,17.769,15.545,38.496,0.120,0.512506,34.659,,10.54,0.08,62.34,17.656,15.540,38.285
434,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-57R1,127-134 ",Rhyolite ,-50.185,63.94,68.3,[9],11.0,48.3,117.0,3.3,1.9,17.3,11.7,0.512544,,17.702,15.516,38.283,0.138,0.512482,96.650,,6.92,0.05,43.10,17.628,15.512,38.137
422,[19],Kerguelen Plateau (Skiff Bank),"ODP Leg 183, Site 1139","s 183-1139A-73R3,100-111 ",Trachyte ,-50.185,63.94,68.3,[9],,,,,,,,0.512502,0.742230,17.702,15.518,38.342,,,,,,,,,,
